"gene","DESeq2_log2FC","DESeq2_padj","DESeq2_group","edgeR_log2FC","edgeR_FDR","edgeR_group"
"AT5G43140",1.037019701,NA,"ns",0.479526692090148,0.81835167876473,"ns"
"AT5G43150",0.136292391,NA,"ns",0.222772738884048,0.86305775744939,"ns"
"AT5G43170",-1.358746858,NA,"ns",-1.35830690013324,0.280217510943458,"ns"
"AT5G43180",0.594280322,NA,"ns",0.558692005304408,0.480708883340119,"ns"
"AT5G43260",1.36010871,NA,"ns",1.17285321194468,0.348073839661656,"ns"
"AT5G43380",-0.424354528,NA,"ns",-0.395494340564646,0.708076831244875,"ns"
"AT5G43440",1.883339697,NA,"ns",1.20284797039653,0.563821560769199,"ns"
"AT5G43450",1.064640908,NA,"ns",1.06740427037573,0.275483517353675,"ns"
"AT5G43490",-0.463276723,NA,"ns",-0.367370830710394,0.831469705291396,"ns"
"AT5G43520",-0.375627025,NA,"ns",-0.314150831520615,0.727517256079814,"ns"
"AT5G43540",0.687739692,NA,"ns",0.644652691662817,0.411549461825102,"ns"
"AT5G43630",0.446368678,NA,"ns",0.522506546013166,0.7189038975206,"ns"
"AT5G43680",1.421575294,NA,"ns",0.908392315896107,0.642194997733384,"ns"
"AT5G43740",0.123567454,NA,"ns",0.286549411973343,0.84435695435678,"ns"
"AT5G43790",-0.362839936,NA,"ns",-0.386971373135746,0.702680844399309,"ns"
"AT5G43870",-0.192869236,NA,"ns",-0.0744079289893423,0.951528486771298,"ns"
"AT5G43910",-1.134627685,NA,"ns",-1.06157898486578,0.310940347262186,"ns"
"AT5G43950",-0.818605146,NA,"ns",-0.724401856611033,0.427873309153461,"ns"
"AT5G43990",2.060428947,NA,"ns",1.24978390578417,0.525104150002814,"ns"
"AT5G44060",0.323599123,NA,"ns",0.276909401176313,0.680026262073426,"ns"
"AT5G44110",0.447513111,NA,"ns",0.471604031169858,0.725415170061126,"ns"
"AT5G44150",-0.484738387,NA,"ns",-0.27185330725883,0.83214927832715,"ns"
"AT5G44160",-0.503606244,NA,"ns",-0.482135927614283,0.614980748935969,"ns"
"AT5G44170",-0.322611221,NA,"ns",-0.291494510528048,0.768530600845405,"ns"
"AT5G44210",-1.280825086,NA,"ns",-1.21859999253122,0.29595052427127,"ns"
"AT5G44230",-0.239516153,NA,"ns",-0.191255311922335,0.866269860187593,"ns"
"AT5G44280",-0.446180877,NA,"ns",-0.409815046642291,0.587053318325283,"ns"
"AT5G44390",-2.196752386,NA,"ns",-2.03691459333696,0.22495955800297,"ns"
"AT5G44460",0.167617013,NA,"ns",0.142650734783014,0.831469705291396,"ns"
"AT5G44500",0.242812238,NA,"ns",0.216978284871933,0.790587078256005,"ns"
"AT5G44530",-0.254297794,NA,"ns",-0.264057748551931,0.750850918063918,"ns"
"AT5G44560",0.140189132,NA,"ns",0.269064872136718,0.816249109252213,"ns"
"AT5G44600",-1.238505256,NA,"ns",-1.0903793520922,0.376285155417846,"ns"
"AT5G44635",-0.072679375,NA,"ns",-0.0685301083228748,0.938597983837787,"ns"
"AT5G44700",0.470998898,NA,"ns",0.390770525621958,0.617405896717064,"ns"
"AT5G44740",1.270066065,NA,"ns",0.706450888203441,0.722538136513933,"ns"
"AT5G44820",-1.766141537,NA,"ns",-1.67557414875063,0.214059387856491,"ns"
"AT5G44870",2.08429357,NA,"ns",1.34515664027777,0.476609982243823,"ns"
"AT5G44910",-1.353593263,NA,"ns",-1.28249645259166,0.251656971830636,"ns"
"AT5G44930",-0.024733783,NA,"ns",-0.00733792783061977,0.992468610312131,"ns"
"AT5G45020",-0.302841894,NA,"ns",-0.312727713940494,0.666928517571189,"ns"
"AT5G45040",-0.326105773,NA,"ns",-0.331543841980853,0.655581803248926,"ns"
"AT5G45070",1.413987341,NA,"ns",0.957631620339509,0.622480313700852,"ns"
